ISBN,ISBN_10,ProductID,BTKey,Author,Title,PriceReguar,PriceDiscounted,30day_demand,Annotation,FormatPrimary,FormatPrimary_Description,FormatPrimary_QuantityPack,CountryOfPublication,LanguageCode,Classification_Merchandise,Classification_BookType,Classification_DeweyClass,Classification_LCClass,Classification_SeriesProduct,Subjects_General,Subjects_Bisac,Subjects_Library,ProductType,ProductLineID,ProductStatus,DateCreated
9781496431813,1496431812,0021749348,0021749348,"Tempest, Annabel",Faithful Friends,2.49,1.42,0,"Looking for a fun and active way to help instill biblical values in your kids while cementing a firm foundation of faith that will “stick” with them for a lifetime? Faith That Sticks provides a creative outlet for kids to express their faith in fun and meaningful ways.

Hey, parents and teachers! Let Faith That Sticks be your one-stop shop for stickers that feature Bible verses, colorful graphics, inspiration, and motivation for living a faith-centered life. Faith That Sticks is perfect for playtime, crafts, Sunday school lessons, rewards, scrapbooks, and so much more!

Includes 132 stickers featuring fun and frolicking friends that remind us that Jesus is our best friend!",Unbound,5.75 H x 0.25 D x 4.00 W inches 0.05 lbs.,1,United States,ENG,GENERAL,Non-Fiction,745,TT,Faith That Sticks Stickers,Crafts & Hobbies,CRAFTS & HOBBIES / General,null,Book,SIDEL,,11/7/2017
9781496431837,1496431839,0021749382,0021749382,"Tyndale House Publishers, Inc.",The Lord's Army,2.49,1.42,0,"Looking for a fun and active way to help instill biblical values in your kids while cementing a firm foundation of faith that will “stick” with them for a lifetime? Faith That Sticks provides a creative outlet for kids to express their faith in fun and meaningful ways.

Hey, parents and teachers! Let Faith That Sticks be your one-stop shop for stickers that feature Bible verses, colorful graphics, inspiration, and motivation for living a faith-centered life. Faith That Sticks is perfect for playtime, crafts, Sunday school lessons, rewards, scrapbooks, and so much more!

Includes 90 dog-tag stickers that remind kids that they are members of God’s army!",Unbound,5.75 H x 0.25 D x 4.00 W inches 0.05 lbs.,1,United States,ENG,JUVENILE,Non-Fiction,,,Faith That Sticks,Blank Books,"NON-CLASSIFIABLE - Juvenile Diary, Blank Book, Journal",null,Book,SIDEL,,11/7/2017
9781496431844,1496431847,0021749376,0021749376,"Tyndale House Publishers, Inc.",The Heavens Declare His Glory,2.49,1.42,0,"Looking for a fun and active way to help instill biblical values in your kids while cementing a firm foundation of faith that will “stick” with them for a lifetime? Faith That Sticks provides a creative outlet for kids to express their faith in fun and meaningful ways.

Hey, parents and teachers! Let Faith That Sticks be your one-stop shop for stickers that feature Bible verses, colorful graphics, inspiration, and motivation for living a faith-centered life. Faith That Sticks is perfect for playtime, crafts, Sunday school lessons, rewards, scrapbooks, and so much more!

Includes 108 space-themed stickers that remind kids of the glory of God’s creation.",Unbound,5.75 H x 0.25 D x 4.00 W inches 0.05 lbs.,1,United States,ENG,JUVENILE,Non-Fiction,,,Faith That Sticks,Blank Books,"NON-CLASSIFIABLE - Juvenile Diary, Blank Book, Journal",null,Book,SIDEL,,11/7/2017
9781496431868,1496431863,0021749364,0021749364,"Carter, Nancy","Jesus, the Center of My Life",2.49,1.42,0,"Looking for a fun and active way to help instill biblical values in your kids while cementing a firm foundation of faith that will “stick” with them for a lifetime? Faith That Sticks provides a creative outlet for kids to express their faith in fun and meaningful ways.

Hey, parents and teachers! Let Faith That Sticks be your one-stop shop for stickers that feature Bible verses, colorful graphics, inspiration, and motivation for living a faith-centered life. Faith That Sticks is perfect for playtime, crafts, Sunday school lessons, rewards, scrapbooks, and so much more!

Includes 54 stickers that remind kids to always put Jesus at the center of their lives.",Unbound,5.75 H x 0.25 D x 4.00 W inches 0.05 lbs.,1,United States,ENG,GENERAL,Non-Fiction,745,TT,Faith That Sticks Stickers,Crafts & Hobbies,CRAFTS & HOBBIES / General,null,Book,SIDEL,,11/7/2017
9781496431875,1496431871,0021749338,0021749338,"Tyndale House Publishers, Inc.",Cuddle Buddies,2.49,1.42,0,"Looking for a fun and active way to help instill biblical values in your kids while cementing a firm foundation of faith that will “stick” with them for a lifetime? Faith That Sticks provides a creative outlet for kids to express their faith in fun and meaningful ways.

Hey, parents and teachers! Let Faith That Sticks be your one-stop shop for stickers that feature Bible verses, colorful graphics, inspiration, and motivation for living a faith-centered life. Faith That Sticks is perfect for playtime, crafts, Sunday school lessons, rewards, scrapbooks, and so much more!

Includes 72 stickers that remind kids to share, be giving, and care for one another.",Unbound,5.75 H x 0.25 D x 4.00 W inches 0.05 lbs.,1,United States,ENG,JUVENILE,Non-Fiction,,,Faith That Sticks,Blank Books,"NON-CLASSIFIABLE - Juvenile Diary, Blank Book, Journal",null,Book,SIDEL,,11/7/2017
9781946206169,1946206164,0022215742,0022215742,"Rourke, Brad",Coming to America,2.49,1.42,0,"The immigration issue affects virtually every American, directly or indirectly, often in deeply personal ways. This guide is designed to help people deliberate together about how we should approach the issue. The three options presented here reflect different ways of understanding what is at stake and force us to think about what matters most to us when we face difficult problems that involve all of us and that do not have perfect solutions.

This issue guide presents the following three options for deliberation: 

Option 1: Welcome Immigrants, Be a Beacon of Freedom 

This option says that immigration has helped make America what it is today- a dynamic and diverse culture, an engine of the global economy, and a beacon of freedom around the world.

Option 2: Enforce the Law, Be Fair to Those Who Follow the Rules

This option says we need a fair system, where the rules are clear and, above all, enforced. With an estimated 11 million people living in the country illegally, our current system is unjust and uncontrolled.

Option 3: Slow Down and Rebuild Our Common Bonds 

This option recognizes that newcomers have strengthened American culture in the past. But the current levels of immigration are so high, and the country is now so diverse, that we must regain our sense of national purpose and identity.",Paperback,23 p. : 10.75 H x 0.25 D x 8.50 W inches 0.25 lbs.,1,,ENG,GENERAL,Non-Fiction,304,JV,,Sociology,"SOCIAL SCIENCE / Emigration & Immigration
POLITICAL SCIENCE / Public Policy / Immigration",null,Book,BOOK,,2/12/2018
9780383036346,0383036348,0002851228,0002851228,"Hucklesly, Hope",In My Head,2.5,2.37,0,A girl daydreams of great things.,Hardcover,8:00 PM,0,,eng,JUVENILE,Juvenile Fiction,[E],PZ8.3.H855 IN 1994,Voyages Series,Fiction,JUVENILE FICTION / General,"Dreams; Fiction.
Stories in rhyme.",Book,BOOK,,12/24/2012
9780486272641,0486272648,0002072612,0002072612,Beowulf,Beowulf,2.5,1.42,0,"One of the most universally studied of the English classics, Beowulf is considered the finest heroic poem in Old English. Written ten centuries ago, it celebrates the character and exploits of Beowulf, a young nobleman of the Geats, a people of southern Sweden.
Beowulf first rescues the royal house of Denmark from two marauding monsters, then returns to rule his people for 50 years, ultimately losing life in a battle to defend the Geats from a dragon's rampage. The poem combines mythical elements, Christian and pagan sensibilities, and actual historical figures and events in a narrative that ranges from vivid descriptions of fierce fighting and detailed portrayals of court life to earnest considerations of social and moral dilemmas. Originally written in Old English verse, it is presented here in an authoritative prose translation by R. K. Gordon.",Paperback,"v, 57 p. ; 8.25 H x 0.25 D x 5.25 W inches 0.10 lbs.",0,,ENG,GENERAL,Fiction,829/.3,PR1583 .G6 1992,Dover Thrift Editions,Literature/Classics,FICTION / Classics,"Epic poetry, English (Old)",Book,BOOK,,12/14/2012
9780486272665,0486272664,0002159806,0002159806,"Coleridge, Samuel Taylor",The Rime of the Ancient Mariner and Other Poems,2.5,1.42,1,"One of the great narrative poems in English, ""The Rime of the Ancient Mariner"" is admired for its fluid meter and masterly structure, accurate observation of sensuous detail and mystic power. Coleridge asserted that his aim in writing the poem was to make the supernatural seem real. Now readers can enjoy this landmark of English literature and over twenty other poems by Coleridge in this inexpensive, authoritative edition. Included are two other famous narrative poems, ""Kubla Khan"" and ""Christabel,"" along with a selection of sonnets, lyrics, and odes. Among these are the moving ""Sonnet: To a Friend who asked how I felt when the Nurse first presented my Infant to me,"" ""Frost at Midnight,"" ""The Nightingale,"" ""The Pains of Sleep,"" ""To William Wordsworth,"" and ""Youth and Age."" All are reprinted from an authoritative edition. ",Paperback,"iv, 76 p. ; 8.25 H x 0.25 D x 5.00 W inches 0.15 lbs.",0,,ENG,GENERAL,Non-Fiction,821/.7,PR4479 .A1 1992A,Dover Thrift Editions,Poetry,"POETRY / European / English, Irish, Scottish, Welsh",null,Book,BOOK,,12/26/2012
9780486275727,0486275728,0002271303,0002271303,"Smith, Philip",Irish Fairy Tales,2.5,1.42,0,"The age-old charm of Irish folklore gives special sparkle to this collection of eight tongue-in-cheek tales. Wicked old hags, clever leprechauns, courageous tailors, evil giants, and other characters come to life in such fanciful yarns as ""Hudden and Dudden and Donald O'Neary,"" ""Conal and Donal and Taig,"" ""The Old Hag's Long Leather Bag,"" ""The Field of Boliauns,"" ""The Sprightly Tailor,"" “The Giant’s Stairs,” “The Bee, the Harp, the Mouse, and the Bum-Clock,” and “The Black Horse.” Reset in large, easy-to-read type, with six illustrations, these beloved stories from the Emerald Isle will delight readers of any age with their warmth, whimsy, and sly humor.",Paperback,"vii, 87 p. : 8.00 H x 0.25 D x 5.00 W inches 0.20 lbs.",0,,ENG,JUVENILE,Easy Fiction,398.21/09415,PZ8 .I67 1993,Children's Thrift Classics,Juvenile Grades 1-2 Ages 6-7,JUVENILE FICTION / Fairy Tales & Folklore / Country & Ethnic,"Fairy tales; Ireland.
Tales; Ireland.
Fairy tales.
Folklore; Ireland.",Book,BOOK,,12/25/2012
9780486287539,048628753X,0002686926,0002686926,"Hardy, Thomas",Selected Poems,2.5,1.42,0,"Widely known as the author of such classic novels as The Return of the Nativeand Tess of the D'Urbervilles, Thomas Hardy (1840–1928) was also a great poet. His lyricism, subtlety, depth, and variety have earned him a significant place in the ranks of modern English poets.
This modestly priced volume contains seventy of Hardy's finest poems, including ""The Darkling Thrush,"" ""Hap,"" ""The Ruined Maid,"" ""The Convergence of the Twain,"" ""I Look Into My Glass,"" ""Ah, Are You Digging on My Grave?"" and many others. These remarkable poems offer ample evidence of Hardy's intense perception and his peculiar power to express deep emotion. They also reflect his distinctive style, which fuses a reliance on traditional stanza formats and rhyme with a unique diction and imaginative power.",Paperback,"vi, 74 p. ; 8.25 H x 0.50 D x 5.25 W inches 0.15 lbs.",0,United States,ENG,GENERAL,Non-Fiction,821/.8,PR4742 .B58 1995,Dover Thrift Editions,Poetry,POETRY / General,null,Book,BOOK,,12/25/2012
9780486498997,0486498999,0011132763,0011132763,"Loaeza, Pablo Garcia, Ph.D.",1001 Most Useful Spanish Words (1001 Most Useful Spanish Words),2.5,1.42,5,"This slim travel companion and at-home reference features 1,001 common words, each accompanied by a brief definition, a sentence demonstrating proper usage, and a translation. Up-to-date entries cover modern technology and consumer electronics, and a categorized section offers a convenient quick reference for words related to the family, the days of the week, and the seasons. Helpful tips on usage explain some of the finer points of vocabulary and grammar.",Paperback,105 p. ; 8.00 H x 0.25 D x 5.00 W inches 0.20 lbs.,1,,spa,GENERAL,Non-Fiction,468.2/421,PC4445 .L623 2013,,Spanish Adult Non-Fiction,FOREIGN LANGUAGE STUDY / Spanish,"Spanish language; Vocabulary.
Spanish language; Usage.
Spanish language; Grammar.",Book,BOOK,,12/20/2012
9780895550262,0895550261,0014140096,0014140096,Tan Books,Saint Gertrude the Great,2.5,1.42,0,"A brief life of this 12th century German Benedictine nun, the only female saint titled ""The Great."" Discusses her method of prayer, some sample prayers, and covers some of her revelations. Shows the depth and sublimity of Our Lord's love for souls who give themselves completely to Him. Contains many actual words of Our Lord from His conversations with Gertrude. Beautiful and inspiring to see how much Jesus loves us and wants to be loved! Here is a soul that never denied Him anything, who kept her baptismal innocence, and so was extremely pleasing to her Divine Spouse.",Paperback,72 p. : 6.00 H x 0.25 D x 3.75 W inches 0.12 lbs.,1,,ENG,RELIGIOUS,Non-Fiction,270,BX,,Religion/Ethics,"RELIGION / Christianity / Saints & Sainthood
RELIGION / Christianity / Catholic",null,Book,BOOK,,12/3/2013
9780911203158,091120315X,0001529492,0001529492,"Howard, Vernon",Conquer Harmful Anger 100 Ways,2.5,1.42,0,,Paperback,3.50 H x 0.25 D x 3.75 W inches 0.10 lbs.,0,,ENG,GENERAL,Non-Fiction,362,RA,,Health/Fitness,HEALTH & FITNESS / Health Care Issues,null,Book,BOOK,,12/26/2012
9788175051072,8175051078,0002560186,0002560186,Vimuktananda,Aparokshanubhuti,2.5,1.42,1,,Paperback,7.00 H x 0.25 D x 5.00 W inches 0.10 lbs.,0,,eng,GENERAL,Non-Fiction,,,Self-Realization,null,null,null,Book,BOOK,,12/13/2012
9789707183025,9707183020,0006673367,0006673367,Silver Dolphin En Espanol,Cuentos Fantasticos / Anytime Stories IV (Cuentos Fantasticos / Anytime Stories IV),2.59,1.94,0,"This vibrant storybook charms young readers with its sparkling stories, colorful illustrations, memorable characters, and reassuring lessons for dealing with childhood woes. This volume contains a variety of stories set in a wide range of locales, from snowy mountain to dense forest to bright desert. A new cast of characters including a pair of penguins, a parrot, a bear, a rabbit, a snake (complete with rattling tail), and a turtle impart gentle wisdom while they entertain.",Board Book,v. : 10.25 H x 1.50 D x 7.75 W inches 2.05 lbs.,1,Mexico,spa,SPANISH PROMO,Easy Fiction,[E],PZ71 .A597 2004,,Spanish Kindergarten,"JUVENILE FICTION / Short Stories
JUVENILE FICTION / Animals / General","Children's stories, American; Translations into Spanish.
Animals; Fiction.
Short stories.
Spanish language materials.",Book,BOOK,,12/14/2012
9789707183193,9707183195,0006673370,0006673370,Silver Dolphin en EspaÃ±ol,Aventuras Sorprendentes / Surprising Adventures (Aventuras Sorprendentes / Surprising Adventures),2.59,1.94,0,"Young readers love nothing better than a good story — except maybe helping to create it! This magnetic figure-based book is based on the Pixar hitsToy Story, Monsters Inc., Finding Nemo, and The Incredibles. Each of the characters, from Buzz Lightyear to Nemo, has his or her own adventure that youngsters can either follow or change using the figures provided. Brightly colored backgrounds help keep young eyes and hands engaged.",Board Book,1 v. (unpaged) : 10.25 H x 0.25 D x 10.00 W inches 1.18 lbs.,1,Mexico,spa,SPANISH PROMO,Easy Fiction,[E],PZ73 .F4847 2005,,Spanish Kindergarten,"JUVENILE FICTION / Media Tie-In
JUVENILE FICTION / Fantasy & Magic","Toy and movable books; Specimens.
Board books.
Cartoon characters; Fiction.
Spanish language materials.
Toy and movable books.
Board books.",Book,BOOK,,12/22/2012
9789707183216,9707183217,0006426432,0006426432,"Parker, Andy",El Arrecife Mecanico / Robotic Reef (El Arrecife Mecanico / Robotic Reef),2.59,1.94,0,,Board Book,8 p. : 8.00 H x 1.25 D x 8.00 W inches 1.45 lbs.,1,,spa,JUVENILE,Easy Fiction,E,PZ,Mekanimals,Spanish Kindergarten,JUVENILE FICTION / Interactive Adventures,null,Book,BOOK,,12/22/2012
9789707183711,9707183713,0006780372,0006780372,Silver Dolphin En Espanol,Imanes Magicos/ Magical Magnets (Imanes Magicos/ Magical Magnets),2.59,1.94,0,"Young girls wouldn’t think of doing anything really fun without their girlfriends, whether that means meeting at the mall in the afternoon for a shopping spree, or cheering on their friends at a trendy fashion show in the evening. These are two of the scenarios in this exciting book that features easy text and imaginative backdrops that make learning fun as young readers move the magnets wherever they please.",Board Book,8 p. : 10.00 H x 0.25 D x 10.00 W inches 1.25 lbs.,1,,spa,JUVENILE,Easy Fiction,E,PZ,Girlfriends,Spanish Grades 1-2,JUVENILE FICTION / Interactive Adventures,null,Book,BOOK,,12/23/2012
9789707183889,9707183888,0006780366,0006780366,Silver Dolphin En Espanol,"Figuras Magicas, Cars/ Magical Magnets, Cars (Figuras Magicas, Cars/ Magical Magnets, Cars)",2.59,1.94,0,"Hop in and join El Rayo McQueen on an amazing road trip along Route 66 to Radiator Springs. Colorful magnets of El Rayo, Tom Mate, Sally, Rojo, Filmore, Ramón, and other characters from the popular Pixar film allow young readers to enliven each scene as they follow the exciting story. The magnets can be used on any page, encouraging children to create stories of their own.",Board Book,8 p. : 10.00 H x 0.25 D x 10.00 W inches 1.25 lbs.,1,United States,spa,JUVENILE NOVELTY,Easy Fiction,E,PZ,,Spanish Kindergarten,"JUVENILE FICTION / Interactive Adventures
JUVENILE FICTION / Media Tie-In
JUVENILE FICTION / Transportation / Cars & Trucks",null,Book,BOOK,,12/23/2012
9780804837538,0804837538,0007746913,0007746913,Tuttle Publishing,Origami Folding Paper Bright 5x5 inch 48 Sheets,2.75,1.57,21,"This origami paper pack contains 48 sheets printed in 6 different bright colors.

The origami sheets are perfect for any paper folder who wants to add a distinctive fluorescent flair to their origami projects. The package also includes an 8-page booklet with instructions so that folders can start right away!

This origami paper pack contains:
48 sheets of high-quality origami paper
Bright tones
Double-sided color
5x5'' square sheets
Instructions for 6 easy projects",Paperback,5.00 H x 0.25 D x 5.25 W inches 0.15 lbs.,1,,ENG,GENERAL,Non-Fiction,736,TT,,Crafts & Hobbies,CRAFTS & HOBBIES / Origami,null,Book,BOOK,,12/23/2012
9781603867047,160386704X,0018167827,0018167827,"Carey, George W.",Relation of the Mineral Salts of the Body to the Signs of the Zodiac,2.79,2.65,2,,Paperback,40 p. : 8.75 H x 0.25 D x 6.00 W inches 0.18 lbs.,1,,ENG,PRINT ON DEMAND,Non-Fiction,615,RX,,Health/Fitness,"HEALTH & FITNESS / Homeopathy
BODY, MIND & SPIRIT / Astrology / General",null,Book,BOOK,,12/22/2015
9788420738123,8420738123,0008309053,0008309053,"Santacana, Joan",Iberia (Iberia),2.79,1.81,0,,Paperback,95 p. : 7.50 H x 0.25 D x 5.50 W inches 0.34 lbs.,1,Spain,spa,JUVENILE,Juvenile Non-Fiction,940,D,Bliblioteca basica de historia/ Basic History Library,Spanish Grades 4-6,JUVENILE NONFICTION / History / Europe,null,Book,BOOK,,12/22/2012
9788434842113,8434842114,0006643778,0006643778,"Gomez, Ricardo",Zigurat (Zigurat),2.79,1.81,0,"""Young Mamri, the son of a deposed king in eighth century B.C. Babylonia, now ruled by Hammurabi, sees his destiny change suddenly and dramatically, and must now make crucial decision just to stay alive--decisions the reader selects that will determine just how brief or long, pleasant or terrible that life will be.""",Paperback,268 p. : 7.50 H x 0.75 D x 5.50 W inches 0.60 lbs.,1,Spain,spa,JUVENILE,Juvenile Fiction,[Fic],PZ73 .G5685585 2005,Laberinto / Labyrinth,Spanish Grades 7-9,"YOUNG ADULT FICTION / Royalty
YOUNG ADULT FICTION / Historical / General","Plot-your-own stories; Specimens.
Babylon (Extinct city); Fiction.
Plot-your-own stories.
Spanish language materials.",Book,BOOK,,12/23/2012
9788434866188,8434866188,0007216291,0007216291,"Nunez, Luchy",No es tan facil saltarse un examen/ It's Not That Easy to Skip a Test (No es tan facil saltarse un examen/ It's Not That Easy to Skip a Test),2.79,1.81,0,"As Marâia attempts to write a novel about her family, her friends, her school, and the world around her, she finds herself learning as much about herself, and about overcoming problems, as she does about writing techniques.",Paperback,155 p. ; 8.25 H x 0.50 D x 5.25 W inches 0.40 lbs.,1,Spain,spa,JUVENILE,Juvenile Fiction,[Fic],PZ73 .N97556 2006,Gran angular/ Big Angular,Spanish Grades 10-12,"YOUNG ADULT FICTION / Social Themes / General (see also headings under Family)
YOUNG ADULT FICTION / School & Education / General","Authorship; Fiction.
Family problems; Fiction.
High schools; Fiction.
Schools; Fiction.
Spanish language materials.",Book,BOOK,,12/21/2012
9781430066651,1430066652,0020003501,0020003501,Lifeway Kids,Stories and Signs,2.85,7.8,2,,Paperback,32 p. : 11.00 H x 0.25 D x 8.50 W inches 0.22 lbs.,1,,ENG,RELIGIOUS,Non-Fiction,268,BV,Gospel Project for Kids,Religion/Ethics,"RELIGION / Christian Education / Children & Youth
RELIGION / Christian Ministry / Children
RELIGION / Biblical Studies / Old Testament / General",null,Book,BOOK,,12/14/2016
